Parcel_ID,LotSize,PropertyType,ZipCode,Neighborhood,Potential Use,StreetNum,StreetName,StreetSuffix,Address,Location
1404131000,5010,,02126,Mattapan,,11,HOSMER,ST,11 HOSMER ST,"(42.2811783534357, -71.0916257120746)"
1404132000,620,,02126,Mattapan,,,HOSMER,ST,HOSMER ST,"(42.281132943936, -71.0915248981453)"
1403949000,5036,,02126,Mattapan,,9,LESTON,ST,9 LESTON ST,"(42.2834623551773, -71.0902655669481)"
1700685000,2796,,02124,Dorchester,,44,ASPINWALL,RD,44 ASPINWALL RD,"(42.2912848209584, -71.0741231206406)"
1403815000,3392,,02124,Mattapan,,,BALLOU,AV,BALLOU AV,"(42.2864038794399, -71.0811626399324)"
1400344000,4145,,02121,Roxbury,,269,MAGNOLIA,ST,269 MAGNOLIA ST,"(42.3101577921039, -71.0751406895181)"
1400495000,4604,,02121,Roxbury,,98 100,BRUNSWICK,ST,98 100 BRUNSWICK ST,"(42.3109136255493, -71.0796574526033)"
1403289000,3794,,02124,Mattapan,,183 193,WOODROW,AV,183 193 WOODROW AV,"(42.2865189840654, -71.087478550701)"
1403485000,2816,,02124,Mattapan,,214 208,WOODROW,AV,214 208 WOODROW AV,"(42.2859958530299, -71.0886278207081)"
1402357000,2950,,02121,Dorchester,,89,RADCLIFFE,ST,89 RADCLIFFE ST,"(42.2984198265114, -71.0783391268798)"
1402358000,3055,,02121,Dorchester,,,RADCLIFFE,ST,RADCLIFFE ST,"(42.2982938034326, -71.0783078232172)"
1402999000,3750,,02124,Mattapan,,93 95,WOODROW,AV,93 95 WOODROW AV,"(42.2877111284478, -71.0824027754969)"
1403000000,2600,,02124,Mattapan,,97,WOODROW,AV,97 WOODROW AV,"(42.2876617220252, -71.082559778266)"
1402841000,3450,,02124,Mattapan,,41 43,CALLENDER,ST,41 43 CALLENDER ST,"(42.2891638280759, -71.0804529141058)"
1402853000,2625,,02124,Mattapan,,87,CALLENDER,ST,87 CALLENDER ST,"(42.2887344891085, -71.0823821044557)"
1402853001,2650,,02124,Mattapan,,89,CALLENDER,ST,89 CALLENDER ST,"(42.2887157100265, -71.082468012646)"
1402449000,4872,,02121,Dorchester,,77 79,HARVARD,ST,77 79 HARVARD ST,"(42.2973734580679, -71.0767415400595)"
1402450000,4138,,02121,Dorchester,,81,HARVARD,ST,81 HARVARD ST,"(42.2973143726912, -71.0769036604541)"
1402325000,8810,,02121,Dorchester,,18 24,STANDISH,ST,18 24 STANDISH ST,"(42.2957384432011, -71.0789970514605)"
1402329000,5527,,02121,Dorchester,,,STANDISH,ST,STANDISH ST,"(42.2962376318426, -71.0791298260563)"
1402330000,12252,,02121,Dorchester,,114 122,HARVARD,ST,114 122 HARVARD ST,"(42.2964396425344, -71.079182378671)"
